cluster_id,tier,proposed_family,proposed_color,product_id,handle,title,type,variant_count,image_count,total_inventory,tags_count,collection_count,current_option_scheme
18,HIGH,Heavyweight Zip Up,Forest Green,10279662125344,forest-green-heavyweight-zip-up,Forest Green Heavyweight Zip Up,Evergreen Zip up,7,5,346,15,22,
18,HIGH,Heavyweight Zip Up,Gunmetal Grey,10279662584096,gunmetal-grey-heavyweight-zip-up,Gunmetal Grey Heavyweight Zip Up,Evergreen Zip up,7,6,571,15,23,
18,HIGH,Heavyweight Zip Up,Navy,10279663304992,navy-blue-heavyweight-zip-up,Navy Heavyweight Zip Up,Evergreen Zip up,7,3,456,15,22,
18,HIGH,Heavyweight Zip Up,Washed Red,10279663534368,washed-red-heavyweight-zip-up,Washed Red Heavyweight Zip Up,Evergreen Zip up,7,4,297,15,22,
18,HIGH,Heavyweight Zip Up,Pitch Black,10279663763744,pitch-black-heavyweight-zip-up,Pitch Black Heavyweight Zip Up,Evergreen Zip up,7,5,369,15,23,
18,HIGH,Heavyweight Zip Up,Heather Grey,10279664288032,heather-grey-heavyweight-zip-up,Heather Grey Heavyweight Zip Up,Evergreen Zip up,7,5,546,15,23,
19,HIGH,Heavyweight Zip Up,Embossed Grey,10279666057504,embossed-grey-heavyweight-zip-up,Embossed Grey Heavyweight Zip-up,Evergreen Zip up,7,4,184,14,23,
19,HIGH,Heavyweight Zip Up,Embossed Black,10279666090272,embossed-black-heavyweight-zip-up,Embossed Black Heavyweight Zip-up,Evergreen Zip up,7,4,57,12,20,
20,HIGH,Long Sleeve Pump Cover,Midnight,10279684178208,midnight-long-sleeve,Midnight Long Sleeve Pump Cover,Pump Cover,7,4,240,9,19,
20,HIGH,Long Sleeve Pump Cover,Blackout,10279684243744,blackout-long-sleeve,Blackout Long Sleeve Pump Cover,Pump Cover,7,4,152,10,20,
21,HIGH,Pullover,Midnight,10279684735264,midnight-pullover,Midnight Pullover,Evergreen Pullover,7,6,969,11,20,
21,HIGH,Pullover,Blackout,10279684800800,midnight-pullover-copy,Blackout Pullover,Evergreen Pullover,7,7,486,13,21,
21,HIGH,Pullover,Cool Grey,10279684964640,blackout-pullover-copy,Cool Grey Pullover,Evergreen Pullover,7,4,201,9,17,
22,HIGH,Snug Cover,Cool Grey,10279685357856,cool-grey-snug-cover,Cool Grey Snug Cover,Snug Cover,1,2,1769,4,15,
22,HIGH,Snug Cover,Midnight Black,10279685390624,midnight-black-snug-cover,Midnight Black Snug Cover,Snug Cover,1,3,1412,4,15,
23,HIGH,Pump Cover,Smoke Inferno,10362711998752,smoke-inferno-pump-cover,Smoke Inferno Pump Cover,Pump Cover,7,4,585,2,12,
23,HIGH,Pump Cover,Toxic Inferno,10362734018848,toxic-inferno-pump-cover,Toxic Inferno Pump Cover,Pump Cover,7,4,255,2,12,
23,HIGH,Pump Cover,Electric Inferno,10362783105312,electric-inferno-pump-cover,Electric Inferno Pump Cover,Pump Cover,7,2,58,2,12,
23,HIGH,Pump Cover,Blood red Inferno,10362822885664,blood-red-inferno-pump-cover,Blood red Inferno Pump Cover,Pump Cover,7,4,285,2,12,
23,HIGH,Pump Cover,Silver Gradient,10393808437536,silver-gradient-pump-cover,Silver Gradient Pump Cover,Pump Cover,7,4,730,4,14,
24,HIGH,Pump Cover,Butterfly Blue,10363305132320,smoked-out-blue-pumpcover,Butterfly Blue Pump Cover,Pump Cover,7,5,7,3,14,
24,HIGH,Pump Cover,Paranorman Black,10363336294688,smoked-out-black-pump-cover,Paranorman Black Pump Cover,Pump Cover,7,5,23,3,13,
24,HIGH,Pump Cover,Paranorman Blood Red,10363346387232,smoked-out-blood-red-pump-cover,Paranorman Blood Red Pump Cover,Pump Cover,7,7,16,3,13,
24,HIGH,Pump Cover,Glossy Gray,10363357331744,smoked-out-glossy-gray-pump-cover,Glossy Gray Pump Cover,Pump Cover,7,10,9,3,13,
24,HIGH,Pump Cover,Smoked Out Gray in Black,10363394687264,smoke-grey-with-black-pump-cover,Smoked Out Gray in Black Pump Cover,Pump Cover,7,9,0,3,11,
25,HIGH,Pump Cover,Inferno Cropped Red,10366010163488,inferno-cropped-red-pump-cover,Inferno Cropped Red Pump Cover,cropped pump cover,5,4,524,4,15,
25,HIGH,Pump Cover,Inferno Cropped Pink,10366025695520,inferno-cropped-pink-pump-cover,Inferno Cropped Pink Pump Cover,cropped pump cover,5,4,294,4,15,
26,HIGH,Wide Leg Sweats,Butterfly Blue,10366247829792,smoke-blue-wide-leg-sweats,Butterfly Blue Wide Leg Sweats,Sweatpants,5,7,325,5,15,
26,HIGH,Wide Leg Sweats,Paranorman Black,10366261395744,smoke-black-wide-leg-sweats,Paranorman Black Wide Leg Sweats,Sweatpants,5,4,93,5,14,
26,HIGH,Wide Leg Sweats,Blood Red,10366424711456,smoke-blood-red-wide-leg-sweats,Blood Red Wide Leg Sweats,Sweatpants,5,5,217,5,14,
26,HIGH,Wide Leg Sweats,Glossy Gray,10366459380000,smoke-glossy-gray-wide-leg-sweats,Glossy Gray Wide Leg Sweats,Sweatpants,5,4,18,5,14,
26,HIGH,Wide Leg Sweats,Venom Green,10366478418208,smoke-green-wide-leg-sweats,Venom Green Wide Leg Sweats,Sweatpants,5,6,285,5,14,
26,HIGH,Wide Leg Sweats,Paranorman Purple,10366493229344,smoke-purple-wide-leg-sweats,Paranorman Purple Wide Leg Sweats,Sweatpants,5,7,41,5,14,
27,HIGH,Chained Baby Tee Midnight,(same as stem),10393898484000,chained-baby-tee-white-print,Chained Baby Tee Midnight,baby tee,5,4,82,4,13,
27,HIGH,Chained Baby Tee Midnight,Glossy Pink,10393917554976,chained-baby-tee-pink-print,Chained Baby Tee Glossy Pink,baby tee,5,4,15,4,13,
27,HIGH,Chained Baby Tee Midnight,Grey,10393932333344,chained-baby-tee-gray-10c,Chained Baby Tee Grey,baby tee,5,4,5,4,13,
27,HIGH,Chained Baby Tee Midnight,Creme,10393945145632,chained-baby-tee-tan-7529c,Chained Baby Tee Creme,Cropped Tank,5,4,18,5,14,
27,HIGH,Chained Baby Tee Midnight,Cropped Chain Tank,10393983418656,cropped-chain-tank-white-print,Cropped Chain Tank Midnight,Cropped Tank,5,2,52,5,14,
27,HIGH,Chained Baby Tee Midnight,Cropped Chain Tank Glossy Pink,10394008813856,cropped-chain-tank-pink-print,Cropped Chain Tank Glossy Pink,Cropped Tank,5,4,22,5,14,
27,HIGH,Chained Baby Tee Midnight,Cropped Chain Tank Gray,10394192445728,cropped-chain-tank-gray-10c,Cropped Chain Tank Gray,Cropped Tank,5,4,10,5,15,
27,HIGH,Chained Baby Tee Midnight,Cropped Chain Tank Creme,10394207453472,cropped-chain-tank-tan-7529c,Cropped Chain Tank Creme,Cropped Tank,5,4,27,5,14,
28,HIGH,Chrome Thermal,(same as stem),10398206722336,chrome-thermal-silver-print,Chrome Thermal,Longsleeve,7,2,0,1,8,
28,HIGH,Chrome Thermal,Glossy Pink,10398295130400,chrome-thermal-pink-print,Chrome Thermal Glossy Pink,Longsleeve,7,4,0,1,8,
28,HIGH,Chrome Thermal,Toxic Green,10398374363424,chrome-thermal-green-print,Chrome Thermal Toxic Green,Longsleeve,7,4,0,1,8,
28,HIGH,Chrome Thermal,Electric Blue,10398440554784,chrome-thermal-blue-print,Chrome Thermal Electric Blue,Longsleeve,7,5,0,1,8,
28,HIGH,Chrome Thermal,Hombre Grey Faded,10424668553504,hombre-thermal-black-faded,Hombre Thermal Grey Faded,Longsleeve,7,4,139,1,10,
28,HIGH,Chrome Thermal,Hombre Beige Faded,10424687722784,hombre-thermal-gray-faded,Hombre Thermal Beige Faded,Longsleeve,7,5,179,1,10,
29,HIGH,Pink Wing Sweatpants,(same as stem),10398575821088,girls-sweatpants-pink-print,Pink Wing Sweatpants,Sweatpants,5,3,102,3,12,
29,HIGH,Pink Wing Sweatpants,Silver,10398602330400,girls-sweatpants-silver-print,Silver Wing Sweatpants,Sweatpants,5,5,114,3,13,
29,HIGH,Pink Wing Sweatpants,Copy,10578193252640,pink-wing-sweatpants-copy,Wing Sweatpants (Copy),Sweatpants,10,3,225,3,12,
30,HIGH,Ghost Zip Up Blood Red,(same as stem),10421717401888,ghost-zip-up-red-print,Ghost Zip Up Blood Red,Zipup Hoodie,7,5,38,5,14,
30,HIGH,Ghost Zip Up Blood Red,Glossy Pink,10421765472544,ghost-zip-up-pink-print,Ghost Zip Up Glossy Pink,Zipup Hoodie,7,5,7,5,14,
30,HIGH,Ghost Zip Up Blood Red,Creme,10421779628320,ghost-zip-up-gray-print,Ghost Zip Up Creme,Zipup Hoodie,7,5,56,5,14,
30,HIGH,Ghost Zip Up Blood Red,Dusk,10421788606752,ghost-zip-up-black-print,Ghost Zip Up Dusk,Zipup Hoodie,7,4,26,5,14,
30,HIGH,Ghost Zip Up Blood Red,Toxic Green,10421791785248,ghost-zip-up-green-print,Ghost Zip Up Toxic Green,Zipup Hoodie,7,2,86,5,14,
31,HIGH,Chopper Crewneck Blackout,(same as stem),10421848506656,chopped-crewneck-black,Chopper Crewneck Blackout,Longsleeve,7,5,540,1,10,
31,HIGH,Chopper Crewneck Blackout,Midnight,10421865546016,cropped-crewneck-white,Chopper Crewneck Midnight,Longsleeve,7,5,250,1,11,
32,HIGH,Ghost Sweatpants Toxic Green,(same as stem),10421879308576,ghost-sweatpants-green-print,Ghost Sweatpants Toxic Green,Sweatpants,5,5,73,4,12,
32,HIGH,Ghost Sweatpants Toxic Green,Blood Red,10421882487072,ghost-sweatpants-red-print,Ghost Sweatpants Blood Red,Sweatpants,5,2,227,4,12,
32,HIGH,Ghost Sweatpants Toxic Green,Glossy Pink,10421883928864,ghost-sweatpants-pink-print,Ghost Sweatpants Glossy Pink,Sweatpants,5,4,0,4,10,
32,HIGH,Ghost Sweatpants Toxic Green,Dusk,10421898084640,ghost-sweatpants-black-print,Ghost Sweatpants Dusk,Sweatpants,5,4,31,4,12,
33,HIGH,Flame Cropped Hoodie Blackout,(same as stem),10423257825568,flame-cropped-hoodie-black-print,Flame Cropped Hoodie Blackout,Cropped Hoodie,5,5,58,6,17,
33,HIGH,Flame Cropped Hoodie Blackout,Glossy Pink,10423267066144,flame-cropped-hoodie-pink-print,Flame Cropped Hoodie Glossy Pink,Cropped Hoodie,5,4,21,6,16,
34,HIGH,Tee Pack,Weighted,10423490314528,weighted-tee-3-pack,Weighted Tee 3 - Pack,Lightweight Tee 3-Pack,7,6,49,3,12,
34,HIGH,Tee Pack,Supercharged Lightweight,10423629545760,supercharged-lightweight-tee-3-pack,Supercharged Lightweight Tee 3 - Pack,Lightweight Tee 3-Pack,7,11,33,4,13,
34,HIGH,Tee Pack,Nightshade Lightweight,10583053664544,nightshade-lightweight-tee-3-pack,Nightshade Lightweight Tee 3 - Pack,Lightweight Tee 3-Pack,7,0,751,4,13,
34,HIGH,Tee Pack,Neutral Lightweight,10583122772256,neutral-lightweight-tee-3-pack-copy,Neutral Lightweight Tee 3 - Pack,Lightweight Tee 3-Pack,7,0,508,4,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,(same as stem),10487200579872,signature-wideleg-sweats,Signature Wideleg Sweats - Pitch Black,Sweatpants,5,5,197,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Grey,10503344980256,signature-wideleg-sweats-grey,Signature Wideleg Sweats Grey,Sweatpants,5,5,280,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Faded,10541217644832,signature-wideleg-sweats-faded-black,Signature Wideleg Sweats Faded Black,Sweatpants,5,5,422,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Vintage with White Stripes,10584051581216,vintage-sweats-black-with-white-stripes,Vintage Sweats Black with White Stripes,Sweatpants,5,0,75,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Form Straight Leggings,10584068686112,form-straight-leggings-black,Form Straight Leggings Black,Sweatpants,5,0,75,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Form Straight Leggings Blue,10584071045408,form-straight-leggings-blue,Form Straight Leggings Blue,Sweatpants,5,0,75,5,13,
35,HIGH,Signature Wideleg Sweats - Pitch Black,Morph Wide Leg,10584072192288,morph-wide-leg-sweats-black,Morph Wide Leg Sweats Black,Sweatpants,5,0,75,5,13,
36,HIGH,Print,Blended Zip Up Black with Grey,10534199263520,blended-zip-up-black-with-grey-print,Blended Zip Up Black with Grey Print,Zipup Hoodie,7,0,462,5,15,
36,HIGH,Print,Blended Zip Up Black with Black,10534209782048,blended-zip-up-black-with-black-print,Blended Zip Up Black with Black Print,Zipup Hoodie,7,0,491,5,15,
37,HIGH,Print,Butterfly Zip Up Black with White,10534318899488,butterfly-zip-up-black-with-white-print,Butterfly Zip Up Black with White Print,Zipup Hoodie,7,0,478,5,15,
37,HIGH,Print,Butterfly Zip Up Black with Blue,10534342492448,butterfly-zip-up-black-with-blue-print,Butterfly Zip Up Black with Blue Print,Zipup Hoodie,7,0,478,5,15,
37,HIGH,Print,Butterfly Zip Up Beige with Black,10534355960096,butterfly-zip-up-beige-with-black-print,Butterfly Zip Up Beige with Black Print,Zipup Hoodie,7,0,208,5,15,
38,MEDIUM,Butterfly Off The Shoulder Crewneck Black,(same as stem),10584099488032,butterfly-off-the-shoulder-crewneck-black,Butterfly Off The Shoulder Crewneck Black,Sweatshirts,5,0,50,5,14,
38,MEDIUM,Butterfly Off The Shoulder Crewneck Black,Grey,10584109449504,butterfly-off-the-shoulder-crewneck-black-copy,Butterfly Off The Shoulder Crewneck Grey,Sweatshirts,5,0,50,5,14,
39,MEDIUM,Gray Iron Therapy Gunmetal Grey Long-Sleeve Compression,(same as stem),9496858624288,iron-therapy-gunmetal-grey-long-sleeve-compression,Gray Iron Therapy Gunmetal Grey Long-Sleeve Compression,Shirts,7,5,-2,6,13,
39,MEDIUM,Gray Iron Therapy Gunmetal Grey Long-Sleeve Compression,Signature Blue,10583936368928,signature-long-sleeve-compression-blue,Signature Long Sleeve Compression Blue,Shirts,5,0,50,6,15,
39,MEDIUM,Gray Iron Therapy Gunmetal Grey Long-Sleeve Compression,Signature Lilac Purple,10583940006176,signature-long-sleeve-compression-lilac-purple,Signature Long Sleeve Compression Lilac Purple,Shirts,5,0,50,6,15,
40,MEDIUM,Onyx Black Iron Therapy Short-Sleeve Compression,(same as stem),9496871665952,iron-therapy-short-sleeve-compression,Onyx Black Iron Therapy Short-Sleeve Compression,Shirts,7,5,0,5,12,
40,MEDIUM,Onyx Black Iron Therapy Short-Sleeve Compression,Signature Lilac Purple,10583977296160,signature-short-sleeve-compression-lilac-purple,Signature Short Sleeve Compression Lilac Purple,Shirts,5,0,50,6,15,
40,MEDIUM,Onyx Black Iron Therapy Short-Sleeve Compression,Signature Blue,10583985946912,signature-long-sleeve-compression-blue-copy,Signature Short Sleeve Compression Blue,Shirts,5,0,50,6,15,
41,MEDIUM,Crewneck,Forest Green,9855413649696,forest-green-crewneck,Forest Green Crewneck,Sweatshirts,7,5,-11,5,14,
41,MEDIUM,Crewneck,Black Forged in Failure,9856188776736,black-forged-in-failure-crewneck,Black Forged in Failure Crewneck,Sweatshirts,7,7,-1,5,9,
41,MEDIUM,Crewneck,Orange Forged in Failure,9856189006112,orange-forged-in-failure-crewneck,Orange Forged in Failure Crewneck,Sweatshirts,7,6,0,5,9,
41,MEDIUM,Crewneck,Cherry Blossom,10137381208352,cherry-blossom-crewneck,Cherry Blossom Crewneck,Sweatshirts,7,4,-9,5,13,
42,MEDIUM,Tech Pants,Beige,9883803779360,beige-tech-pants,Beige Tech Pants,Sweatpants,5,7,0,5,11,
42,MEDIUM,Tech Pants,Black,9883805679904,beige-tech-pants-copy,Black Tech Pants,Sweatpants,5,7,-7,5,11,
43,MEDIUM,Heavyweight Sweatpants,Amethyst,9978524533024,amethyst-heavyweight-sweatpants,Amethyst Heavyweight Sweatpants,Sweatpants,7,6,-36,3,10,
43,MEDIUM,Heavyweight Sweatpants,Arctic Camo,9987283648800,arctic-camo-heavyweight-sweatpants,Arctic Camo Heavyweight Sweatpants,Sweatpants,7,11,-1,5,12,
43,MEDIUM,Heavyweight Sweatpants,Amethyst Camo,10160501817632,amethyst-camo-heavyweight-sweatpants,Amethyst Camo Heavyweight Sweatpants,Sweatpants,7,2,-1,5,12,
44,MEDIUM,Shorts,Prime Layer Frost Blue,10003278201120,sky-blue-nylon-shorts,Prime Layer Frost Blue Shorts,Tracksuit,5,4,-1,3,11,
44,MEDIUM,Shorts,Prime Layer Midnight Black,10003278266656,midnight-black-nylon-shorts,Prime Layer Midnight Black Shorts,Tracksuit,5,4,-2,2,9,
44,MEDIUM,Shorts,Prime Layer Forest Green,10003278430496,forest-green-nylon-shorts,Prime Layer Forest Green Shorts,Tracksuit,5,4,0,3,11,
45,MEDIUM,Track Jacket,Prime Layer Frost Blue,10003279118624,sky-blue-nylon-track-jacket,Prime Layer Frost Blue Track Jacket,Tracksuit,7,5,0,2,9,
45,MEDIUM,Track Jacket,Prime Layer Forest Green,10003279282464,forest-green-nylon-track-jacket,Prime Layer Forest Green Track Jacket,Tracksuit,7,5,0,3,10,
45,MEDIUM,Track Jacket,Prime Layer Midnight Black,10003279446304,midnight-black-nylon-track-jacket,Prime Layer Midnight Black Track Jacket,Tracksuit,7,5,0,2,9,
46,MEDIUM,Smoke Sweatshorts,Black,10338060534048,cherry-blossom-sweat-shorts-copy,Black Smoke Sweatshorts,Shorts,5,3,-1,4,14,
46,MEDIUM,Smoke Sweatshorts,Grey,10383282864416,grey-smoke-sweatshorts,Grey Smoke Sweatshorts,Shorts,5,3,0,2,10,
47,MEDIUM,Camo Spray Tee,Blue,10507651383584,blue-camo-spray-tee,Blue Camo Spray Tee,T-Shirts,7,0,-23,6,15,
47,MEDIUM,Camo Spray Tee,Sand,10507652366624,sand-camo-spray-tee,Sand Camo Spray Tee,T-Shirts,7,0,-19,6,15,
48,MEDIUM,Mesh Shorts,White Hyper,10513525932320,white-hyper-mesh-shorts,White Hyper Mesh Shorts,Shorts,5,0,-40,2,11,
48,MEDIUM,Mesh Shorts,Black Hyper,10513554538784,black-hyper-mesh-shorts,Black Hyper Mesh Shorts,Shorts,5,0,-46,2,11,
48,MEDIUM,Mesh Shorts,Blue Camo,10513605624096,black-hyper-mesh-shorts-copy,Blue Camo Mesh Shorts,Shorts,5,0,-39,1,11,
